addressText,price,href,created,broadband
"Lot 172 North Cove, Kawau Island, Hauraki Gulf Islands","Enquiries over $650,000",/a/property/residential/sale/auckland/hauraki-gulf-islands/kawau-island/listing/4809100903?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.251Z,None
"1391/Lot 3 Kaipara Hills Rd, Kaipara Flats, Rodney","Asking price $986,500",property/new-homes/house-land/auckland/rodney/kaipara-flats/listing/4808870530?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.272Z,None
"48 Kenderdine Road, Elsthorpe, Central Hawke's Bay",Price by negotiation,property/residential/sale/hawkes-bay/central-hawkes-bay/elsthorpe/listing/4839018910?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.539Z,None
"85 Spur Road, Timaru, Timaru","Enquiries over $975,000",/a/property/residential/sale/canterbury/timaru/timaru/listing/4803758966?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.563Z,"ADSL, VDSL, Wireless"
"71 Cass Street, Temuka, Timaru",Price by negotiation,property/residential/sale/canterbury/timaru/temuka/listing/4794959178?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.885Z,None
"461 Kenepuru Road, Mahau Sound, Marlborough","Asking price $770,000",/a/property/residential/sale/marlborough/marlborough/mahau-sound/listing/4777799746?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.919Z,"ADSL, Wireless"
"163/Lot 3 Ahuroa Rd, Puhoi, Rodney","Asking price $1,502,600",property/new-homes/house-land/auckland/rodney/puhoi/listing/4772986946?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.950Z,None
"163/Lot 2 Ahuroa Rd, Puhoi, Rodney","Asking price $1,345,000",property/new-homes/house-land/auckland/rodney/puhoi/listing/4772962338?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.978Z,None
"240 Schooner Bay Road, Great Barrier Island, Hauraki Gulf Islands","Asking price $760,000",/a/property/residential/sale/auckland/hauraki-gulf-islands/great-barrier-island/listing/4769269049?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:38.998Z,None
"110 Cartwright Road, Onerahi, Whangarei",Price by negotiation,/a/property/residential/sale/northland/whangarei/onerahi/listing/4765699582?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.018Z,"Fibre, ADSL, VDSL, Wireless"
"78 Sherson Street, Gate Pa, Tauranga",Price by negotiation,property/residential/sale/bay-of-plenty/tauranga/gate-pa/listing/4761289675?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.036Z,None
"76 Riverstream Drive, Kerikeri, Far North","Asking price $999,995",/a/property/residential/sale/northland/far-north/kerikeri/listing/4760956598?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.066Z,"ADSL, VDSL, Wireless"
"733 Raetihi Ohakune Road, Ohakune, Ruapehu",Price by negotiation,/a/property/residential/sale/manawatu-whanganui/ruapehu/ohakune/listing/4758057739?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.093Z,"ADSL, Wireless"
"8 Winter Road, Wyndham, Southland","Asking price $589,000",property/residential/sale/southland/southland/wyndham/listing/4915207395?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.111Z,None
"839 Owhiwa Road, Parua Bay, Whangarei","Enquiries over $760,000",/a/property/residential/sale/northland/whangarei/parua-bay/listing/4757537367?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.138Z,None
"33C Tirimoana Terrace, Anakiwa , Marlborough","Asking price $930,000",/a/property/residential/sale/marlborough/marlborough/anakiwa/listing/4747534803?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.155Z,"ADSL, Wireless"
"56 Mason Road, Seaward Bush, Invercargill","Enquiries over $739,000",property/residential/sale/southland/invercargill/seaward-bush/listing/4926668034?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.174Z,None
"10 Houkura Way, Kaiwaka, Kaipara","Asking price $825,000",/a/property/residential/sale/northland/kaipara/kaiwaka/listing/4738307172?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.193Z,"ADSL, VDSL, Wireless"
"Lot 5/1372 Manawahe Road, Matata, Whakatane","Asking price $1,215,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4819481532?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.212Z,None
"44 Paterson Street, Aramoho, Whanganui",Price by negotiation,/a/property/residential/sale/manawatu-whanganui/whanganui/aramoho/listing/4734315077?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.229Z,"Fibre, ADSL, VDSL, Wireless"
"Lot 2/22 Ariels Lane, Paparoa, Kaipara","Enquiries over $695,000",property/residential/sale/northland/kaipara/paparoa/listing/4732970313?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.247Z,None
"179 Totara North Road, Totara North, Far North","Asking price $890,000",property/residential/sale/northland/far-north/totara-north/listing/4719859645?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.264Z,None
"174 Chain Hills Road, Fairfield, Dunedin","Asking price $969,000",/a/property/residential/sale/otago/dunedin/fairfield/listing/4713254441?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.282Z,"ADSL, VDSL, Wireless"
"3146 Far North Road, Pukenui, Far North","Enquiries over $750,000",/a/property/residential/sale/northland/far-north/pukenui/listing/4712911988?rsqid=12884a1f3a2d4a14847d87fd1db882a4-005,2024-10-07T07:38:39.299Z,Wireless
"Lot 1/DP 208154 State Highway One, Kaiwaka, Kaipara","Asking price $875,000",/a/property/residential/sale/northland/kaipara/kaiwaka/listing/4711630138?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:39.943Z,None
"459 Utopia Road, Westport, Buller","Enquiries over $999,000",property/residential/sale/west-coast/buller/westport/listing/4711247109?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:39.962Z,None
"15 Ormiston Road, Oakleigh, Whangarei","Asking price $860,000",/a/property/residential/sale/northland/whangarei/oakleigh/listing/4709967149?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:39.987Z,"ADSL, VDSL, Wireless"
"114 Te Puke Road, Kuratau, Taupo",Price by negotiation,/a/property/residential/sale/waikato/taupo/kuratau/listing/4709954054?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.010Z,"ADSL, Wireless"
"Lot 58/5 Blue Heron Way, Hinamoki Estate, Kaiwaka, Kaipara","Asking price $975,000",property/new-homes/house-land/northland/kaipara/kaiwaka/listing/4707743302?rsqid=a7bb7428e18a40629d7a42f85b4f6f7c-006,2024-10-07T07:38:40.044Z,None
